IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,59084,142.251.210.163,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,847,3083,7,7,2026-09-09T22:36:03.331-06:00,2026-09-09T22:36:03.436-06:00
6,10.215.173.1,59098,142.251.210.163,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Closed,www.gstatic.com,807,3044,6,6,2026-09-09T22:36:03.454-06:00,2026-09-09T22:36:03.556-06:00
17,10.215.173.1,27610,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:01.393-06:00,2026-09-09T23:28:01.393-06:00
17,10.215.173.1,52022,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:01.397-06:00,2026-09-09T23:28:01.397-06:00
17,fd00:2:fd00:1:fd00:1:fd00:1,44701,2620:fe::9:853,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:06.396-06:00,2026-09-09T23:28:06.396-06:00
17,fd00:2:fd00:1:fd00:1:fd00:1,14365,2620:fe::9:853,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:06.401-06:00,2026-09-09T23:28:06.401-06:00
17,10.215.173.1,27610,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:11.399-06:00,2026-09-09T23:28:11.399-06:00
17,10.215.173.1,52022,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:11.403-06:00,2026-09-09T23:28:11.403-06:00
17,fd00:2:fd00:1:fd00:1:fd00:1,44701,2620:fe::9:853,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:16.405-06:00,2026-09-09T23:28:16.405-06:00
17,fd00:2:fd00:1:fd00:1:fd00:1,14365,2620:fe::9:853,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:16.409-06:00,2026-09-09T23:28:16.409-06:00
17,10.215.173.1,57869,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.395-06:00,2026-09-09T23:28:21.395-06:00
17,10.215.173.1,20958,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.399-06:00,2026-09-09T23:28:21.399-06:00
17,10.215.173.1,38000,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.403-06:00,2026-09-09T23:28:21.403-06:00
17,10.215.173.1,3776,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Unreachable,www.gstatic.com,0,0,0,0,2026-09-09T23:28:21.407-06:00,2026-09-09T23:28:21.407-06:00
